emotion,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
ne,0.0,0.059,0.0487,0.0167,0.1058,0.0964,0.0,0.0,0.0,0.0703,0.0304,0.1197,0.1299,0.0152,0.1973,0.1968,0.0158,0.0557,0.0606,0.2784,0.1312,0.0121,0.0118,0.0,0.0028,0.008,0.0,0.0045,0.0016,0.0003,0.0005,0.0007,0.0038,0.0025,0.0001,0.0002,0.0146,0.0031,0.4612,0.0011,0.0093,0.0029,0.0146,0.0096,0.0001,0.0,0.001,0.0012,0.0,0.0,0.0,0.0
fe,0.0,0.0001,0.0001,0.7744,0.8768,0.8778,0.0,0.0,0.0,0.0037,0.0033,0.4317,0.4225,0.0282,0.2498,0.2274,0.0064,0.0175,0.0099,0.0167,0.014,0.2339,0.1485,0.0001,0.0078,0.0086,0.0,0.0029,0.0033,0.0002,0.0001,0.0002,0.0182,0.0067,0.0007,0.0016,0.0089,0.0009,0.6425,0.001,0.002,0.0022,0.0013,0.0045,0.0003,0.0001,0.0008,0.003,0.0007,0.0002,0.0,0.0
di,0.0,0.0782,0.0922,0.0043,0.1211,0.0635,0.0,0.0,0.0,0.1618,0.0611,0.4843,0.4454,0.0026,0.5347,0.5238,0.0065,0.0122,0.0111,0.2364,0.2537,0.0077,0.009,0.0,0.0001,0.0003,0.0,0.0001,0.0312,0.002,0.0001,0.0002,0.0035,0.0651,0.0,0.0,0.0075,0.0042,0.3456,0.0001,0.0006,0.0001,0.1123,0.1791,0.0091,0.01,0.0005,0.0154,0.0859,0.0538,0.0,0.0
su,0.0,0.0002,0.0002,0.5857,0.7019,0.5951,0.0,0.0,0.0,0.0034,0.0013,0.5136,0.5223,0.0815,0.1603,0.0636,0.0167,0.0097,0.0057,0.04,0.0112,0.164,0.2548,0.0001,0.015,0.5897,0.0027,0.0092,0.0217,0.005,0.0,0.0001,0.0802,0.0031,0.0024,0.0049,0.007,0.0028,0.5059,0.0021,0.0078,0.0105,0.0051,0.0106,0.0001,0.0,0.0001,0.0003,0.0004,0.0002,0.0,0.0
an,0.0,0.268,0.2468,0.0021,0.0208,0.0253,0.0,0.0,0.0,0.02,0.0061,0.1648,0.1771,0.0195,0.1,0.1632,0.0502,0.0363,0.0405,0.0925,0.0451,0.0291,0.0561,0.0,0.0076,0.0235,0.0,0.0036,0.0221,0.0157,0.0,0.0,0.0002,0.0108,0.0,0.0,0.0605,0.0202,0.0466,0.0019,0.2477,0.1437,0.9327,0.3144,0.0001,0.0,0.0005,0.0001,0.0007,0.0007,0.0,0.0
sa,0.0,0.0168,0.0058,0.2766,0.1051,0.1531,0.0,0.0,0.0,0.2378,0.1019,0.1251,0.1271,0.1117,0.0278,0.0415,0.1237,0.0715,0.078,0.311,0.3107,0.0024,0.0024,0.0001,0.009,0.0114,0.0,0.008,0.0036,0.0002,0.0125,0.0136,0.0009,0.0141,0.0002,0.0003,0.0373,0.0088,0.056,0.0,0.0178,0.0033,0.0516,0.0214,0.0006,0.0002,0.0053,0.0023,0.0001,0.0001,0.0,0.0
ha,0.0,0.007,0.0048,0.3311,0.1907,0.1946,0.0004,0.0,0.0,0.0752,0.0098,0.3912,0.3669,0.1237,0.0297,0.0378,0.1322,0.0161,0.0197,0.1877,0.1048,0.0126,0.0485,0.001,0.0015,0.0853,0.0001,0.0093,0.0123,0.002,0.0003,0.0004,0.0082,0.0033,0.0185,0.0365,0.0806,0.0347,0.0111,0.0003,0.0122,0.0416,0.0038,0.013,0.7133,0.561,0.0158,0.1137,0.3568,0.2027,0.0,0.0
ne,0.0,0.0163,0.0054,0.2114,0.1868,0.2087,0.0,0.0,0.0,0.1195,0.0473,0.1134,0.1364,0.0209,0.1233,0.143,0.0363,0.0627,0.0659,0.321,0.1566,0.0058,0.0093,0.0,0.0052,0.0242,0.0,0.0165,0.0012,0.0002,0.0013,0.0014,0.0027,0.0075,0.0002,0.0002,0.0064,0.0012,0.5462,0.0003,0.0119,0.0076,0.0164,0.0094,0.0,0.0,0.0015,0.0005,0.0001,0.0,0.0,0.0
fe,0.0,0.0,0.0,0.8911,0.8731,0.8335,0.0,0.0,0.0,0.0185,0.004,0.5927,0.5968,0.0604,0.081,0.06,0.0484,0.0068,0.0064,0.0627,0.0386,0.0318,0.0955,0.0001,0.008,0.0575,0.0,0.0044,0.0023,0.0003,0.0081,0.0107,0.0074,0.0107,0.0014,0.0026,0.0119,0.0037,0.0739,0.0001,0.0139,0.0073,0.047,0.1967,0.0003,0.0001,0.003,0.0025,0.0427,0.0269,0.0,0.0
di,0.0,0.1267,0.0835,0.003,0.0238,0.0459,0.0,0.0,0.0,0.1077,0.0304,0.026,0.025,0.3322,0.0056,0.0137,0.2908,0.2825,0.2898,0.3856,0.2196,0.0063,0.0062,0.0,0.0093,0.0052,0.0,0.0031,0.048,0.0003,0.0012,0.0023,0.0023,0.0158,0.0002,0.0003,0.0612,0.0115,0.0958,0.0001,0.0226,0.0027,0.0645,0.0348,0.0006,0.0002,0.0015,0.0017,0.0001,0.0001,0.0,0.0
su,0.0,0.0007,0.0003,0.4314,0.5749,0.5582,0.0,0.0,0.0,0.035,0.0059,0.5013,0.5032,0.0622,0.0566,0.0578,0.0623,0.0094,0.0085,0.1112,0.0363,0.0249,0.0574,0.0001,0.0131,0.0736,0.0,0.0051,0.002,0.0003,0.001,0.002,0.0131,0.0137,0.0021,0.0033,0.0053,0.0035,0.2013,0.0001,0.0126,0.0085,0.0065,0.0282,0.0001,0.0,0.0006,0.0021,0.0027,0.0014,0.0,0.0
an,0.0,0.0356,0.0166,0.0476,0.0857,0.1212,0.0,0.0,0.0,0.0949,0.0388,0.0607,0.0625,0.0884,0.0337,0.0448,0.0917,0.131,0.1448,0.3561,0.2557,0.0051,0.0064,0.0,0.0114,0.0138,0.0,0.0097,0.0154,0.0004,0.0021,0.003,0.0006,0.0085,0.0001,0.0002,0.0816,0.0144,0.0382,0.0001,0.0564,0.0076,0.1052,0.0167,0.0003,0.0001,0.0015,0.0013,0.0,0.0,0.0,0.0
ha,0.0,0.1547,0.0953,0.0079,0.0308,0.0339,0.0001,0.0,0.0,0.1529,0.0873,0.1105,0.1114,0.0039,0.3893,0.3816,0.0107,0.0817,0.0812,0.5057,0.3858,0.0048,0.0056,0.0001,0.0008,0.002,0.0,0.0004,0.0143,0.007,0.0006,0.0006,0.0004,0.0039,0.0003,0.0003,0.0726,0.0428,0.0047,0.0004,0.0111,0.0047,0.0517,0.0229,0.8277,0.7545,0.0176,0.0167,0.0019,0.0021,0.0,0.0
fe,0.0,0.0099,0.0072,0.0781,0.3023,0.1837,0.0,0.0,0.0,0.0096,0.0034,0.4607,0.4712,0.0162,0.1723,0.1793,0.0174,0.0095,0.0092,0.0308,0.018,0.0583,0.1054,0.0,0.0005,0.0045,0.0002,0.0005,0.002,0.002,0.0001,0.0001,0.0032,0.001,0.0003,0.0003,0.0135,0.0089,0.3181,0.0124,0.0138,0.009,0.0342,0.0508,0.0,0.0,0.0001,0.0004,0.0003,0.0005,0.0,0.0
di,0.0,0.3665,0.4073,0.0003,0.0241,0.0067,0.0,0.0,0.0,0.133,0.086,0.205,0.2024,0.001,0.5935,0.5653,0.0059,0.0458,0.0392,0.4542,0.2837,0.0076,0.0053,0.0001,0.0003,0.0015,0.0002,0.0001,0.0071,0.0011,0.0002,0.0003,0.0418,0.0011,0.0003,0.0006,0.005,0.0012,0.8543,0.0059,0.0022,0.0006,0.0394,0.2431,0.0002,0.0001,0.0004,0.0009,0.0071,0.0077,0.0,0.0
su,0.0,0.0001,0.0001,0.6132,0.8614,0.8297,0.0,0.0,0.0,0.0123,0.0033,0.4204,0.4256,0.0045,0.5613,0.5654,0.0017,0.0132,0.0134,0.0309,0.0267,0.041,0.1605,0.0001,0.0002,0.0027,0.0003,0.0007,0.0144,0.0047,0.0002,0.0003,0.0009,0.0012,0.0002,0.0003,0.1277,0.0249,0.034,0.0067,0.0122,0.0035,0.0383,0.0231,0.0014,0.0008,0.0009,0.0019,0.0002,0.0001,0.0,0.0
an,0.0,0.2372,0.4426,0.0001,0.048,0.005,0.0,0.0,0.0,0.0582,0.0639,0.0225,0.024,0.0016,0.5166,0.4733,0.0053,0.3006,0.2907,0.4475,0.4196,0.0098,0.0063,0.0001,0.0006,0.007,0.0002,0.0021,0.0115,0.0076,0.0004,0.0003,0.0007,0.0004,0.0005,0.0007,0.1465,0.0374,0.065,0.0067,0.0819,0.0095,0.0467,0.0098,0.0003,0.0001,0.0012,0.0002,0.0,0.0,0.0,0.0
sa,0.0,0.0827,0.0605,0.0474,0.0342,0.0485,0.0,0.0,0.0,0.1695,0.1495,0.0669,0.0869,0.0236,0.0922,0.1096,0.0426,0.1135,0.0775,0.5313,0.1944,0.0033,0.0011,0.0,0.0034,0.0112,0.0,0.0082,0.0009,0.0114,0.0017,0.0009,0.0005,0.0052,0.0001,0.0001,0.0354,0.1095,0.0055,0.0002,0.0298,0.0109,0.0852,0.02,0.001,0.0012,0.0046,0.0007,0.0,0.0001,0.0,0.0
ha,0.0,0.0157,0.0345,0.0592,0.145,0.0629,0.0008,0.0,0.0,0.2101,0.2812,0.2617,0.2907,0.033,0.0916,0.1265,0.0691,0.0417,0.0268,0.4916,0.3352,0.0051,0.0024,0.0011,0.001,0.0861,0.0002,0.0086,0.0095,0.0183,0.0,0.0,0.0122,0.0071,0.0277,0.0513,0.1115,0.1624,0.0056,0.0005,0.0052,0.0488,0.005,0.0181,0.9069,0.9129,0.0207,0.0184,0.6095,0.655,0.0,0.0
ne,0.0,0.0125,0.0188,0.0916,0.1997,0.0977,0.0,0.0,0.0,0.0641,0.0498,0.0436,0.0511,0.0231,0.1174,0.122,0.0377,0.1553,0.1314,0.3543,0.1571,0.0082,0.0056,0.0,0.001,0.0047,0.0,0.0045,0.0005,0.0034,0.0086,0.0058,0.0005,0.007,0.0001,0.0,0.0239,0.0572,0.0089,0.0002,0.0088,0.0012,0.1254,0.0764,0.0035,0.0047,0.0184,0.0051,0.0005,0.001,0.0,0.0
fe,0.0,0.0077,0.004,0.1045,0.2871,0.3466,0.0,0.0,0.0,0.0091,0.0088,0.2599,0.2801,0.0071,0.2837,0.2989,0.0089,0.0363,0.0177,0.1349,0.0133,0.0664,0.0264,0.0,0.0008,0.002,0.0,0.001,0.0004,0.004,0.0024,0.0014,0.0017,0.0027,0.0001,0.0001,0.0105,0.0206,0.0777,0.0011,0.0045,0.0007,0.0616,0.0722,0.0008,0.0008,0.0057,0.0008,0.0008,0.0015,0.0,0.0
di,0.0,0.4891,0.6377,0.0001,0.0028,0.0015,0.0,0.0,0.0,0.4685,0.4174,0.158,0.1885,0.0096,0.2035,0.2343,0.028,0.0737,0.0571,0.8463,0.491,0.001,0.0005,0.0002,0.0001,0.001,0.0001,0.0003,0.0008,0.0061,0.0028,0.0015,0.0021,0.0028,0.0004,0.0003,0.0087,0.0188,0.0398,0.0002,0.0021,0.0003,0.0125,0.0494,0.2022,0.2525,0.0873,0.0272,0.0014,0.0036,0.0,0.0
su,0.0,0.0001,0.0,0.8451,0.8036,0.7466,0.0,0.0,0.0,0.0304,0.0158,0.1257,0.1335,0.0282,0.126,0.1134,0.0305,0.081,0.0604,0.2026,0.049,0.0216,0.0248,0.0,0.001,0.0132,0.0,0.0118,0.0004,0.0026,0.0082,0.0058,0.0011,0.0051,0.0001,0.0001,0.012,0.029,0.0463,0.0007,0.0141,0.0025,0.1504,0.0965,0.0006,0.0008,0.0077,0.003,0.0007,0.0013,0.0,0.0
sa,0.0,0.0044,0.0019,0.1651,0.499,0.3721,0.0,0.0,0.0,0.1343,0.0547,0.4891,0.4971,0.0607,0.0615,0.0673,0.0638,0.0121,0.0101,0.2671,0.1241,0.008,0.0093,0.0001,0.0003,0.0005,0.0,0.0002,0.0005,0.0009,0.0053,0.0052,0.007,0.0035,0.0003,0.0003,0.0052,0.0115,0.2328,0.0003,0.0004,0.0001,0.0048,0.0296,0.0053,0.006,0.0129,0.0219,0.001,0.0011,0.0,0.0
ha,0.0,0.0011,0.0007,0.2062,0.7213,0.5842,0.0005,0.0,0.0,0.0846,0.0811,0.2318,0.2416,0.031,0.121,0.1234,0.0363,0.0456,0.036,0.3567,0.2266,0.0125,0.0127,0.0017,0.0009,0.0896,0.0003,0.0024,0.0012,0.0089,0.0003,0.0002,0.055,0.0004,0.0947,0.131,0.0225,0.0437,0.0164,0.0034,0.0009,0.0094,0.0007,0.0152,0.8772,0.9236,0.0553,0.0649,0.3061,0.4486,0.0,0.0
ne,0.0,0.0018,0.0007,0.1352,0.6755,0.57,0.0,0.0,0.0,0.0491,0.0241,0.2278,0.2245,0.0225,0.1348,0.1262,0.0285,0.0382,0.0358,0.2102,0.1073,0.0127,0.0182,0.0001,0.001,0.0082,0.0,0.0056,0.0009,0.001,0.0059,0.0046,0.002,0.0012,0.0003,0.0003,0.0187,0.0091,0.0651,0.0009,0.0039,0.0013,0.0072,0.0163,0.0016,0.001,0.0175,0.0033,0.0002,0.0002,0.0,0.0
fe,0.0,0.0001,0.0001,0.572,0.9162,0.7883,0.0001,0.0,0.0,0.0078,0.0015,0.6586,0.672,0.0351,0.1271,0.1064,0.0242,0.0043,0.0041,0.03,0.0172,0.0662,0.2283,0.0002,0.0063,0.4505,0.0005,0.0121,0.0056,0.0074,0.0003,0.0004,0.0251,0.001,0.0103,0.0123,0.0167,0.0215,0.0234,0.0013,0.0021,0.0058,0.0015,0.0191,0.0052,0.0053,0.0022,0.0035,0.0069,0.0079,0.0,0.0
sa,0.0,0.0011,0.0003,0.7033,0.3614,0.4189,0.0,0.0,0.0,0.0441,0.0176,0.0915,0.0909,0.0185,0.1586,0.1405,0.0265,0.0882,0.0838,0.2553,0.0809,0.014,0.0241,0.0001,0.0003,0.0029,0.0,0.0006,0.0012,0.005,0.1451,0.1171,0.0002,0.0003,0.0003,0.0003,0.081,0.0724,0.0034,0.0026,0.0273,0.0023,0.1148,0.0324,0.0017,0.0018,0.0586,0.0141,0.0006,0.0013,0.0,0.0
ha,0.0,0.0909,0.0616,0.0205,0.0529,0.0613,0.0006,0.0,0.0,0.1809,0.1294,0.1589,0.1707,0.0271,0.1261,0.1588,0.0531,0.0756,0.0751,0.5849,0.5232,0.0057,0.0077,0.0028,0.0012,0.0446,0.0001,0.0038,0.0069,0.0191,0.0003,0.0003,0.0207,0.0014,0.0802,0.1703,0.1207,0.1741,0.0096,0.0007,0.0032,0.0093,0.0035,0.0073,0.9509,0.9594,0.1684,0.1871,0.8602,0.8945,0.0,0.0
ne,0.0,0.003,0.0012,0.3607,0.2969,0.3135,0.0,0.0,0.0,0.1407,0.055,0.1443,0.1288,0.0279,0.1287,0.116,0.0308,0.0533,0.0594,0.2917,0.172,0.0046,0.0073,0.0,0.0008,0.0017,0.0,0.0003,0.0035,0.0016,0.0557,0.0653,0.0002,0.0015,0.0002,0.0002,0.1361,0.0547,0.0033,0.0004,0.0167,0.0013,0.1301,0.033,0.0023,0.0013,0.018,0.0124,0.0008,0.0009,0.0,0.0
di,0.0,0.1439,0.1053,0.0037,0.0432,0.0469,0.0,0.0,0.0,0.0737,0.0374,0.0252,0.0267,0.0009,0.6597,0.6196,0.0032,0.2432,0.2109,0.3866,0.2789,0.0082,0.0072,0.0001,0.0,0.0011,0.0002,0.0002,0.0004,0.0071,0.0843,0.0469,0.0008,0.0,0.0006,0.0004,0.0254,0.0189,0.0319,0.0368,0.0082,0.0003,0.0895,0.1842,0.0038,0.0041,0.0614,0.0123,0.0019,0.0047,0.0,0.0
su,0.0,0.0,0.0,0.7834,0.9209,0.9105,0.0,0.0,0.0,0.0139,0.0102,0.0751,0.079,0.0043,0.5486,0.5459,0.0027,0.1102,0.0983,0.0844,0.0607,0.0409,0.082,0.0001,0.0014,0.0942,0.0033,0.0076,0.0018,0.0013,0.0,0.0,0.0344,0.0001,0.0023,0.0065,0.0028,0.0004,0.9482,0.1589,0.027,0.0557,0.0029,0.0059,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0
an,0.0,0.3027,0.3442,0.0002,0.0141,0.0093,0.0,0.0,0.0,0.1302,0.0976,0.0278,0.0269,0.0216,0.1009,0.1153,0.0408,0.2539,0.2088,0.5678,0.3741,0.0041,0.0022,0.0001,0.0002,0.0007,0.0,0.0002,0.0006,0.0868,0.1011,0.0525,0.0003,0.0001,0.0005,0.0002,0.017,0.098,0.0038,0.0163,0.006,0.0004,0.2,0.1576,0.0281,0.0593,0.1572,0.0327,0.0262,0.1205,0.0,0.0
sa,0.0,0.4353,0.5041,0.0029,0.0021,0.002,0.0003,0.0,0.0,0.5676,0.5234,0.6201,0.6271,0.0116,0.3107,0.305,0.0207,0.0127,0.0111,0.6626,0.6208,0.0013,0.0006,0.0011,0.0003,0.0078,0.0002,0.0004,0.0057,0.0039,0.0004,0.0003,0.0076,0.0104,0.0246,0.044,0.0252,0.0397,0.0082,0.0,0.002,0.0086,0.0025,0.0131,0.8824,0.8707,0.0302,0.0451,0.6773,0.594,0.0,0.0
ha,0.0,0.0004,0.0006,0.5031,0.5295,0.3856,0.0005,0.0,0.0,0.2273,0.1455,0.4722,0.4628,0.0338,0.3774,0.2448,0.0074,0.0278,0.019,0.4179,0.4085,0.0059,0.0091,0.0049,0.0008,0.0276,0.0002,0.0013,0.0028,0.0024,0.0024,0.0021,0.0132,0.0013,0.2363,0.4374,0.0503,0.0564,0.0062,0.0002,0.0042,0.0169,0.0024,0.0044,0.868,0.8386,0.2412,0.2666,0.866,0.8295,0.0,0.0
ne,0.0,0.0538,0.1087,0.0102,0.0283,0.0091,0.0,0.0,0.0,0.3218,0.3331,0.2887,0.2645,0.0428,0.1285,0.1151,0.0311,0.0356,0.0327,0.411,0.4089,0.0021,0.0007,0.0001,0.0003,0.0005,0.0,0.0001,0.0087,0.0105,0.0001,0.0001,0.0006,0.0009,0.0001,0.0001,0.0328,0.0291,0.0123,0.0023,0.0009,0.0021,0.0175,0.0172,0.4739,0.4393,0.0067,0.0068,0.0037,0.0072,0.0,0.0
fe,0.0,0.0003,0.0003,0.5911,0.6526,0.5504,0.0003,0.0,0.0,0.0989,0.0574,0.4981,0.4805,0.0131,0.5465,0.5233,0.0017,0.0233,0.0202,0.1594,0.3347,0.0173,0.0389,0.0041,0.0013,0.0592,0.0008,0.0006,0.0096,0.0015,0.0435,0.0475,0.0173,0.0014,0.3667,0.5368,0.0258,0.011,0.006,0.0,0.0071,0.007,0.002,0.0162,0.1659,0.086,0.6572,0.4724,0.7259,0.6541,0.0,0.0
su,0.0,0.0015,0.0013,0.4091,0.5442,0.4726,0.0003,0.0,0.0,0.0398,0.0081,0.1675,0.1944,0.4691,0.0078,0.0073,0.5027,0.0752,0.0615,0.0934,0.0611,0.041,0.1309,0.0011,0.0017,0.2816,0.0055,0.0005,0.0235,0.0161,0.0011,0.0006,0.0818,0.0002,0.5036,0.4804,0.0196,0.0043,0.0242,0.0014,0.0021,0.0006,0.0005,0.0402,0.0371,0.0308,0.0142,0.0016,0.1028,0.0736,0.0,0.0
sa,0.0,0.224,0.0918,0.0411,0.0223,0.0437,0.0,0.0,0.0,0.0887,0.1176,0.0234,0.0389,0.0065,0.2176,0.2531,0.02,0.2478,0.205,0.6114,0.277,0.0065,0.0035,0.0,0.0079,0.2233,0.0002,0.1737,0.0004,0.0016,0.0015,0.0012,0.0013,0.0014,0.0007,0.0005,0.0094,0.0094,0.5083,0.0017,0.1421,0.1083,0.0297,0.0011,0.0,0.0,0.0006,0.0002,0.0,0.0,0.0,0.0
ha,0.0,0.0194,0.0081,0.2229,0.0857,0.112,0.0001,0.0,0.0,0.1005,0.1245,0.0383,0.0503,0.0132,0.1769,0.2036,0.0311,0.2291,0.1987,0.6666,0.397,0.0057,0.0044,0.0003,0.0037,0.0574,0.0,0.0466,0.0274,0.039,0.0,0.0,0.0012,0.0029,0.0022,0.0021,0.2839,0.2063,0.0036,0.0004,0.01,0.0199,0.0015,0.0003,0.2779,0.2095,0.0101,0.0044,0.0,0.0,0.0,0.0
ne,0.0,0.0809,0.059,0.0618,0.0748,0.054,0.0,0.0,0.0,0.143,0.106,0.0218,0.0286,0.0155,0.1365,0.1581,0.0302,0.2767,0.2694,0.544,0.2641,0.0045,0.0035,0.0,0.0056,0.2361,0.0001,0.2046,0.0007,0.0018,0.0008,0.0006,0.001,0.0014,0.001,0.0007,0.0205,0.0219,0.1538,0.0012,0.042,0.0405,0.014,0.0008,0.0,0.0,0.0009,0.0005,0.0,0.0,0.0,0.0
sa,0.0,0.0061,0.1821,0.1091,0.1044,0.0064,0.0,0.0,0.0,0.2295,0.2188,0.2525,0.2433,0.0243,0.1195,0.1371,0.0376,0.0377,0.0305,0.4423,0.3056,0.003,0.0014,0.0001,0.0005,0.025,0.0001,0.0185,0.0008,0.0071,0.0007,0.0008,0.0003,0.0002,0.0004,0.0003,0.0352,0.1101,0.0036,0.0059,0.0135,0.017,0.006,0.0018,0.0013,0.0032,0.0032,0.024,0.0,0.0001,0.0,0.0
ha,0.0,0.0284,0.1095,0.0186,0.1014,0.0255,0.0001,0.0,0.0,0.2844,0.258,0.4494,0.4197,0.0952,0.0402,0.0608,0.1258,0.0215,0.0172,0.6009,0.5032,0.0033,0.0018,0.0002,0.0004,0.0097,0.0001,0.0039,0.0142,0.0137,0.0,0.0,0.0018,0.002,0.0004,0.001,0.1189,0.0896,0.0076,0.0011,0.0046,0.0242,0.0024,0.0017,0.8305,0.842,0.0062,0.0212,0.0009,0.0014,0.0,0.0
fe,0.0,0.0005,0.0112,0.3534,0.5,0.071,0.0,0.0,0.0,0.1058,0.0753,0.3766,0.3424,0.0314,0.1153,0.1201,0.0394,0.0218,0.0196,0.2996,0.1687,0.0104,0.0083,0.0,0.002,0.1038,0.0005,0.0665,0.0005,0.005,0.0,0.0,0.0013,0.0002,0.0008,0.0005,0.0063,0.0144,0.1249,0.0273,0.0142,0.0862,0.0019,0.0007,0.0,0.0,0.0002,0.0005,0.0,0.0,0.0,0.0
di,0.0,0.3712,0.7064,0.0002,0.0055,0.0009,0.0,0.0,0.0,0.2965,0.258,0.3365,0.3161,0.0157,0.1423,0.1837,0.0342,0.028,0.023,0.4406,0.4388,0.0021,0.0009,0.0,0.0005,0.0063,0.0001,0.0039,0.0003,0.0358,0.0001,0.0001,0.0016,0.0001,0.0002,0.0001,0.0042,0.0572,0.0471,0.0304,0.0024,0.004,0.01,0.0107,0.001,0.0036,0.0012,0.0011,0.0002,0.0013,0.0,0.0
su,0.0,0.0001,0.0009,0.5314,0.8352,0.2901,0.0,0.0,0.0,0.0207,0.0103,0.4158,0.3814,0.0409,0.1358,0.1161,0.0264,0.018,0.0168,0.1121,0.0589,0.0385,0.0599,0.0,0.0012,0.1591,0.0008,0.113,0.0008,0.0046,0.0,0.0001,0.0013,0.0002,0.0007,0.0004,0.007,0.0174,0.1789,0.0426,0.0235,0.0848,0.0052,0.0014,0.0,0.0,0.0001,0.0008,0.0,0.0,0.0,0.0
an,0.0,0.031,0.2787,0.0018,0.1261,0.0078,0.0,0.0,0.0,0.0345,0.0486,0.0798,0.0923,0.0112,0.2069,0.2222,0.0219,0.1118,0.0934,0.3362,0.2571,0.0208,0.0089,0.0,0.0009,0.1191,0.0011,0.0716,0.001,0.013,0.0,0.0001,0.0015,0.0002,0.0005,0.0003,0.0062,0.035,0.5724,0.069,0.3627,0.3133,0.0509,0.0021,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0
sa,0.0,0.0045,0.0023,0.3781,0.1703,0.2361,0.0,0.0,0.0,0.0636,0.0256,0.0967,0.1051,0.0606,0.0487,0.0747,0.0865,0.088,0.1032,0.3762,0.2055,0.0109,0.018,0.0,0.0058,0.0373,0.0,0.0141,0.0313,0.0097,0.0,0.0,0.0005,0.0052,0.0004,0.0004,0.0752,0.0662,0.0614,0.0008,0.14,0.1143,0.025,0.0011,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0
ha,0.0,0.0907,0.0625,0.0151,0.034,0.0705,0.0,0.0,0.0,0.1284,0.0946,0.125,0.1356,0.0448,0.0506,0.088,0.0862,0.0693,0.0562,0.393,0.3111,0.0057,0.0044,0.0001,0.0022,0.0044,0.0,0.0009,0.0489,0.0464,0.0,0.0,0.0013,0.0038,0.0003,0.0003,0.1062,0.1136,0.015,0.0008,0.005,0.0176,0.003,0.002,0.3663,0.3904,0.0002,0.0008,0.0001,0.0001,0.0,0.0
ne,0.0,0.0272,0.0099,0.0151,0.0867,0.265,0.0,0.0,0.0,0.1292,0.0961,0.0541,0.0662,0.0242,0.1055,0.1338,0.0427,0.1385,0.1379,0.4588,0.2933,0.0051,0.0037,0.0001,0.0057,0.0155,0.0,0.0061,0.076,0.0711,0.0,0.0,0.0006,0.0061,0.0005,0.0005,0.2095,0.1673,0.0099,0.0006,0.0223,0.0496,0.004,0.0006,0.0011,0.001,0.0001,0.0002,0.0,0.0,0.0,0.0
fe,0.0,0.0027,0.001,0.2342,0.3517,0.4921,0.0,0.0,0.0,0.0242,0.0088,0.2267,0.2495,0.0278,0.1024,0.1242,0.044,0.0337,0.0341,0.203,0.0793,0.0274,0.049,0.0,0.0043,0.015,0.0,0.003,0.0704,0.0378,0.0,0.0,0.0004,0.0052,0.0004,0.0004,0.207,0.1339,0.0126,0.0012,0.0755,0.0784,0.024,0.0021,0.0003,0.0002,0.0001,0.0002,0.0,0.0,0.0,0.0
di,0.0,0.2909,0.1953,0.0045,0.0043,0.0179,0.0,0.0,0.0,0.1174,0.0437,0.0988,0.1147,0.1027,0.023,0.05,0.1393,0.0781,0.0749,0.4609,0.2358,0.0062,0.006,0.0,0.0045,0.0126,0.0,0.0036,0.0229,0.0046,0.0,0.0,0.0009,0.0056,0.0003,0.0004,0.059,0.0421,0.0447,0.0005,0.0366,0.0212,0.0192,0.0032,0.0001,0.0001,0.0001,0.0005,0.0,0.0,0.0,0.0
su,0.0,0.0003,0.0001,0.391,0.6526,0.6536,0.0001,0.0,0.0,0.0209,0.0077,0.2754,0.2775,0.0453,0.0732,0.0829,0.0511,0.029,0.0261,0.1908,0.0749,0.0366,0.0502,0.0001,0.0094,0.4255,0.0008,0.0193,0.0879,0.05,0.0,0.0,0.0222,0.0096,0.0076,0.0073,0.0192,0.0371,0.1091,0.0006,0.008,0.035,0.0017,0.0048,0.0002,0.0002,0.0,0.0001,0.0007,0.0005,0.0,0.0
an,0.0,0.3243,0.3064,0.0002,0.008,0.0189,0.0,0.0,0.0,0.1013,0.0449,0.0533,0.0542,0.036,0.0502,0.0971,0.0822,0.1446,0.1402,0.5385,0.3798,0.0059,0.0064,0.0,0.0071,0.0195,0.0,0.0055,0.1756,0.0384,0.0,0.0,0.0003,0.0266,0.0003,0.0003,0.2994,0.1918,0.0038,0.0001,0.1229,0.1029,0.0417,0.003,0.001,0.0005,0.0003,0.0004,0.0,0.0,0.0,0.0
